"work_year","experience_level","job_title","salary","salary_currency","salary_in_usd","employee_residence","company_location"
"2023","SE","Business Intelligence Engineer","202800","USD","202800","US","US"
"2023","SE","Business Intelligence Engineer","104300","USD","104300","US","US"
"2023","MI","Data Manager","60000","GBP","73824","GB","GB"
"2023","MI","Data Manager","55000","GBP","67672","GB","GB"
"2023","SE","Data Scientist","290000","USD","290000","US","US"
"2023","SE","Data Scientist","173200","USD","173200","US","US"
"2023","SE","Data Scientist","235000","USD","235000","US","US"
"2023","SE","Data Scientist","204000","USD","204000","US","US"
"2023","SE","Machine Learning Scientist","300000","USD","300000","US","US"
"2023","SE","Machine Learning Scientist","222000","USD","222000","US","US"
"2023","SE","Analytics Engineer","160000","USD","160000","US","US"
"2023","SE","Analytics Engineer","136000","USD","136000","US","US"
"2023","SE","Data Architect","206000","USD","206000","US","US"
"2023","SE","Data Architect","134000","USD","134000","US","US"
"2023","SE","Data Scientist","155000","USD","155000","CA","CA"
"2023","SE","Data Scientist","105000","USD","105000","CA","CA"
"2023","SE","Machine Learning Engineer","287500","USD","287500","US","US"
"2023","SE","Machine Learning Engineer","212500","USD","212500","US","US"
"2023","SE","Machine Learning Engineer","190027","USD","190027","US","US"
"2023","SE","Machine Learning Engineer","152022","USD","152022","US","US"
"2023","EN","Data Scientist","18000","EUR","19434","GR","GR"
"2023","MI","Data Engineer","130000","USD","130000","US","US"
"2023","MI","Data Engineer","100000","USD","100000","US","US"
"2023","MI","Data Engineer","250000","USD","250000","US","US"
"2023","MI","Data Engineer","125000","USD","125000","US","US"
"2023","MI","Data Engineer","131000","USD","131000","CO","CO"
"2023","MI","Data Engineer","88000","USD","88000","CO","CO"
"2023","EN","Data Analyst","80000","USD","80000","US","US"
"2023","EN","Data Analyst","50000","USD","50000","US","US"
"2023","SE","Machine Learning Engineer","198000","USD","198000","US","US"
"2023","SE","Machine Learning Engineer","132000","USD","132000","US","US"
"2023","SE","Business Intelligence Engineer","125000","USD","125000","US","US"
"2023","SE","Business Intelligence Engineer","115000","USD","115000","US","US"
"2023","SE","Data Engineer","184000","USD","184000","US","US"
"2023","SE","Data Engineer","123000","USD","123000","US","US"
"2023","SE","Data Manager","145000","USD","145000","US","US"
"2023","SE","Data Manager","130000","USD","130000","US","US"
"2023","SE","Machine Learning Engineer","170700","USD","170700","US","US"
"2023","SE","Machine Learning Engineer","113900","USD","113900","US","US"
"2023","SE","Data Engineer","184000","USD","184000","US","US"
"2023","SE","Data Engineer","123000","USD","123000","US","US"
"2023","SE","Machine Learning Engineer","280000","USD","280000","US","US"
"2023","SE","Machine Learning Engineer","200000","USD","200000","US","US"
"2023","SE","Data Engineer","185000","USD","185000","US","US"
"2023","SE","Data Engineer","81000","USD","81000","US","US"
"2023","SE","Machine Learning Engineer","220000","USD","220000","US","US"
"2023","SE","Machine Learning Engineer","80000","USD","80000","US","US"
"2023","SE","Data Scientist","185000","USD","185000","US","US"
"2023","SE","Data Scientist","123000","USD","123000","US","US"
"2023","EX","Data Manager","80000","USD","80000","US","US"
"2023","EX","Data Manager","75000","USD","75000","US","US"
"2023","MI","Research Scientist","150000","USD","150000","US","US"
"2023","MI","Research Scientist","130000","USD","130000","US","US"
